playerShort,height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,meanIAT,nIAT,seIAT,meanExp,nExp,seExp,position,club,leagueCountry,rater,firstName
granit-xhaka,185.0,82.0,149,78,37,34,8,27,1,0,0.3488350508352037,6268.394736842105,0.0003386568858057216,0.46873632722982633,6529.565789473684,0.0015768144396017287,3,15,2,0,309
gregory-bourillon,187.0,76.0,285,105,83,97,5,36,2,2,0.34096998771804105,4793.28813559322,0.0002816177005241162,0.4043876001949699,5016.033898305085,0.001230920050733813,1,30,1,0,310
gregory-pujol,183.0,70.0,310,94,97,119,76,15,0,1,0.33736575542152875,3579.4745762711864,0.00022188120467970854,0.3857407362913998,3742.762711864407,0.0009077407716643499,2,88,1,0,310
gregory-sertic,181.0,69.0,138,63,40,35,5,15,1,0,0.34664396212217485,4598.818181818182,0.00028020086564749155,0.4542887038810486,4812.636363636364,0.0012698380474524887,7,36,1,0,310
guaita,190.0,80.0,141,62,41,38,0,14,0,0,0.36289600305472397,3323.9122807017543,0.0004420860532030743,0.5942775831985723,3502.4736842105262,0.0021057085320814895,5,87,3,0,311
gueida-fofana,182.0,74.0,168,81,40,47,15,21,1,1,0.34075516595914884,35263.142857142855,0.0005224299282348287,0.41930353626059313,36290.06349206349,0.002703226475291443,12,57,1,1,312
guillaume-lacour,173.0,66.0,294,100,83,111,5,31,0,0,0.33460530982462533,3187.0810810810813,0.00027292261201581405,0.35322614833221555,3331.9864864864867,0.0011801051880115856,12,96,1,0,313
guillermo-ochoa,183.0,73.0,456,178,124,154,0,22,0,0,0.3491026989783145,174085.45217391304,0.0008337754090910996,0.5063432692850369,178853.42608695652,0.004374294945754168,12,3,1,0,314
gurpegi,181.0,77.0,311,117,82,112,20,92,4,0,0.36508568645630907,4844.047619047619,0.00026387831607706805,0.5718720654899854,5088.380952380952,0.0011971461593331815,4,9,3,0,315
guy-demel,187.0,83.0,371,177,87,107,12,61,1,1,0.34479183948199266,11627.345588235294,0.001016734928422508,0.42094321060023593,12124.051470588236,0.0059202711349702845,9,93,0,1,316
guy-ndy-assembe,184.0,79.0,132,43,45,44,0,3,0,0,0.3370874889002935,3594.744680851064,0.0011119246105291845,0.36398371724161593,3757.5106382978724,0.005708446188161259,5,4,1,1,316
gylfi-sigurdsson,186.0,77.0,227,98,51,78,64,15,0,0,0.3407494580850209,20615.008771929824,0.003003160044087413,0.46115836320953707,21564.508771929824,0.011656967444965872,0,83,0,0,317
hadi-sacko,183.0,79.0,41,17,9,15,4,4,0,0,0.3480113344403821,3584.0,0.001695745960478081,0.48596914876799535,3753.181818181818,0.008812623827969964,12,36,1,1,318
